Age Group,Belgium,Czech Republic,Germany,Israel,Italy,Norway,Portugal,Switzerland,United Kingdom,Spain
0-4,0.05511136432,0.05197604341,0.04774404975,0.09939663388,0.03934832996,0.05599644837,0.03972950615,0.05225318787,0.05850787178,0.04313906336
5-9,0.05799914129,0.05270968021,0.04477496725,0.09481131991,0.04493851139,0.05857115798,0.04403629604,0.04968630703,0.06092443643,0.04973033873
10-14,0.05747294072,0.05254353141,0.04547657252,0.08464766117,0.0473791683,0.05956244628,0.04874968946,0.0474674502,0.05752431126,0.05289726623
15-19,0.05509602547,0.04418155005,0.04969470543,0.07708032025,0.04742385857,0.05998855895,0.05187656639,0.04980037509,0.05456130929,0.04728804392
20-24,0.05760709068,0.04585894202,0.05449602467,0.07187582927,0.04880786967,0.06573977871,0.05283860709,0.05692660341,0.06101375948,0.04846416255
25-29,0.06331721622,0.0613500731,0.05831520907,0.06650055108,0.05251693093,0.06894082933,0.05243366593,0.06497736509,0.06679008215,0.05107484722
30-34,0.06447144311,0.06749308847,0.06518011902,0.06604124502,0.0559851833,0.06915202652,0.056284567,0.06977753586,0.0693562096,0.05812086078
35-39,0.06539186082,0.0738044979,0.0637808478,0.0651779186,0.06128537343,0.06614153679,0.06630668866,0.07119523906,0.06693206314,0.07364433007
40-44,0.06512659399,0.08779187002,0.05972420288,0.06304818442,0.07141714994,0.06503665562,0.07655841711,0.06590213125,0.06324263021,0.08666745605
44-49,0.06695668353,0.078191631,0.06480370486,0.0565697734,0.08093877049,0.0708285903,0.07864248018,0.07110596333,0.06447332474,0.08312397289
50-54,0.06952537776,0.06328978561,0.08218760514,0.04774729316,0.08085574832,0.06908695699,0.07235596723,0.07935611137,0.06922711172,0.07685991303
55-59,0.06929477506,0.06142725377,0.08035266237,0.0437080288,0.07526569902,0.06132304272,0.0716262713,0.07310424976,0.06609560726,0.07173061252
60-64,0.06256855903,0.0613732742,0.06784216243,0.04130843909,0.06371415588,0.05690519123,0.06498234232,0.06006789847,0.05626352645,0.0607742741
65-69,0.05422301099,0.06444403359,0.05605501182,0.04114328611,0.05835214917,0.05125733912,0.06041162192,0.05095921354,0.05045138275,0.05049701539
70-74,0.04636137336,0.05570587869,0.04590171928,0.03176876992,0.05491078363,0.04817081088,0.05434444799,0.04833017721,0.04930383624,0.04654845513
74-79,0.03238889353,0.03666079091,0.04497310647,0.01880678316,0.043108027,0.03124082625,0.04320225971,0.03687122439,0.03470983875,0.03736297035
80-105,0.05708765013,0.04119807564,0.06869732924,0.03036796278,0.07375229099,0.04205780399,0.06562060553,0.05221896707,0.05062269873,0.06207641767